GEO_ID,NAME,id_Fix,Housingandincome,Housing_z,INDEX_housing,Broadband_Internet,Broadband_Z,INDEX_broadband,percentlingis,Lingiso_z,INDEX_linguistics,Associatesplus,Associatesplus_Z,INDEX_associates,Averagez,INDEXoverall
id,Geographic Area Name,id_Fix,Housingandincome,Housing_z,INDEX_housing,Broadband_Internet,Broadband_Z,INDEX_broadband,percentlingis,Lingiso_z,INDEX_linguistics,Associatesplus,Associatesplus_Z,INDEX_associates,Averagez,INDEXoverall
1400000US41045970900,"Census Tract 9709, Malheur County, Oregon",41045970900,85.60394808,2.127334428,1,65.51401869,0.121923569,3,95.63174382,-0.219783292,4,19.39445268,-0.713794077,4,1.315680629,2
1400000US41045970700,"Census Tract 9707, Malheur County, Oregon",41045970700,81.35248679,0.869324638,1,58.78787879,-0.444690945,4,94.55696203,-0.619239267,4,28.62318841,0.713813259,1,0.519207686,3
1400000US41045970600,"Census Tract 9706, Malheur County, Oregon",41045970600,80.60526316,0.648220746,2,59.88142292,-0.352570058,4,96.85863874,0.236207411,3,23.98673545,-0.003406786,3,0.528451313,3
1400000US41045970500,"Census Tract 9705, Malheur County, Oregon",41045970500,80.76554384,0.69564789,2,60.6257379,-0.289868467,4,92.40360194,-1.41956223,5,21.90990991,-0.324674125,4,-1.338456932,4
1400000US41045970400,"Census Tract 9704, Malheur County, Oregon",41045970400,75.54858934,-0.848051882,4,47.23203769,-1.418162712,5,96.21486854,-0.003057764,4,14.61880089,-1.452547003,5,-3.72181936,5
1400000US41045970300,"Census Tract 9703, Malheur County, Oregon",41045970300,78.62260163,0.061550084,3,55.37091988,-0.732537844,5,96.34177539,0.04410874,3,31.41153082,1.145146239,1,0.518267219,3
1400000US41045970200,"Census Tract 9702, Malheur County, Oregon",41045970200,79.72015741,0.386317458,2,59.79040265,-0.360237666,4,94.01803387,-0.819538596,5,25.13352183,0.173991366,3,-0.619467438,3
1400000US41045940000,"Census Tract 9400, Malheur County, Oregon",41045940000,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1400000US16087970300,"Census Tract 9703, Washington County, Idaho",16087970300,80.51708218,0.622127945,2,61.58711903,-0.208881079,3,94.12360689,-0.780301074,4,18.61167002,-0.834883931,5,-1.201938139,4
1400000US16087970200,"Census Tract 9702, Washington County, Idaho",16087970200,76.43894567,-0.584594943,4,44.29312581,-1.66573861,5,97.05203794,0.308086619,3,20.16505203,-0.594588877,4,-2.536835811,5
1400000US16087970100,"Census Tract 9701, Washington County, Idaho",16087970100,83.40535869,1.476770589,1,62.00814111,-0.173413898,3,100,1.403733254,1,27.36434109,0.519080229,2,3.226170175,1
